Biol_rep,Phage,Rep,Evolved_line,Temperature,Competition,PFU,Dilution,PFU_ml
1,14_1,1,37,37,No_comp,110,-6,11000000000
1,14_1,2,37,37,No_comp,61,-6,6100000000
1,14_1,3,37,37,No_comp,60,-6,6000000000
1,14_1,4,37,37,No_comp,57,-6,5700000000
1,14_1,5,37,37,No_comp,46,-6,4600000000
1,14_1,6,37,37,No_comp,51,-6,5100000000
1,14_1,1,37,37,Comp,78,-5,780000000
1,14_1,2,37,37,Comp,98,-5,980000000
1,14_1,3,37,37,Comp,8,-5,80000000
1,14_1,4,37,37,Comp,78,-5,780000000
1,14_1,5,37,37,Comp,83,-5,830000000
1,14_1,6,37,37,Comp,90,-5,900000000
1,14_1,1,42,37,No_comp,60,-6,6000000000
1,14_1,2,42,37,No_comp,99,-6,9900000000
1,14_1,3,42,37,No_comp,62,-6,6200000000
1,14_1,4,42,37,No_comp,73,-6,7300000000
1,14_1,5,42,37,No_comp,82,-6,8200000000
1,14_1,6,42,37,No_comp,91,-6,9100000000
1,14_1,1,42,37,Comp,90,-5,900000000
1,14_1,2,42,37,Comp,81,-5,810000000
1,14_1,3,42,37,Comp,70,-5,700000000
1,14_1,4,42,37,Comp,87,-5,870000000
1,14_1,5,42,37,Comp,110,-5,1100000000
1,14_1,6,42,37,Comp,127,-5,1270000000
1,14_1,1,37C,37,No_comp,77,-6,7700000000
1,14_1,2,37C,37,No_comp,67,-6,6700000000
1,14_1,3,37C,37,No_comp,61,-6,6100000000
1,14_1,4,37C,37,No_comp,50,-6,5000000000
1,14_1,5,37C,37,No_comp,110,-6,11000000000
1,14_1,6,37C,37,No_comp,40,-6,4000000000
1,14_1,1,37C,37,Comp,190,-5,1900000000
1,14_1,2,37C,37,Comp,139,-5,1390000000
1,14_1,3,37C,37,Comp,113,-5,1130000000
1,14_1,4,37C,37,Comp,100,-5,1000000000
1,14_1,5,37C,37,Comp,130,-5,1300000000
1,14_1,6,37C,37,Comp,161,-5,1610000000
1,14_1,1,42C,37,No_comp,172,-6,17200000000
1,14_1,2,42C,37,No_comp,186,-6,18600000000
1,14_1,3,42C,37,No_comp,95,-6,9500000000
1,14_1,4,42C,37,No_comp,117,-6,11700000000
1,14_1,5,42C,37,No_comp,84,-6,8400000000
1,14_1,6,42C,37,No_comp,82,-6,8200000000
1,14_1,1,42C,37,Comp,99,-5,990000000
1,14_1,2,42C,37,Comp,78,-5,780000000
1,14_1,3,42C,37,Comp,64,-5,640000000
1,14_1,4,42C,37,Comp,68,-5,680000000
1,14_1,5,42C,37,Comp,67,-4,67000000
1,14_1,6,42C,37,Comp,75,-4,75000000
1,14_1,NA,Ancestor,37,No_comp,173,-5,1730000000
1,14_1,NA,Ancestor,37,No_comp,163,-5,1630000000
1,14_1,NA,Ancestor,37,No_comp,150,-5,1500000000
1,14_1,NA,Ancestor,37,Comp,84,-4,84000000
1,14_1,NA,Ancestor,37,Comp,109,-4,109000000
1,14_1,NA,Ancestor,37,Comp,100,-4,100000000
1,14_1,1,F,37,No_comp,61,-6,6100000000
1,14_1,2,F,37,No_comp,78,-6,7800000000
1,14_1,3,F,37,No_comp,77,-6,7700000000
1,14_1,4,F,37,No_comp,90,-6,9000000000
1,14_1,5,F,37,No_comp,107,-6,10700000000
1,14_1,6,F,37,No_comp,94,-6,9400000000
1,14_1,1,F,37,Comp,62,-5,620000000
1,14_1,2,F,37,Comp,82,-5,820000000
1,14_1,3,F,37,Comp,64,-5,640000000
1,14_1,4,F,37,Comp,112,-5,1120000000
1,14_1,5,F,37,Comp,112,-5,1120000000
1,14_1,6,F,37,Comp,100,-5,1000000000
1,14_1,1,FC,37,No_comp,99,-6,9900000000
