Biol_rep,Phage,Rep,Evolved_line,Temperature,Competition,PFU,Dilution,PFU_ml
1,14_1,1,37,37,Comp,54,-7,54000000000
1,14_1,2,37,37,Comp,54,-7,54000000000
1,14_1,3,37,37,Comp,71,-7,71000000000
1,14_1,4,37,37,Comp,43,-7,43000000000
1,14_1,5,37,37,Comp,37,-7,37000000000
1,14_1,6,37,37,Comp,33,-7,33000000000
1,14_1,1,37,37,No_comp,47,-7,47000000000
1,14_1,2,37,37,No_comp,58,-7,58000000000
1,14_1,3,37,37,No_comp,18,-7,18000000000
1,14_1,4,37,37,No_comp,41,-7,41000000000
1,14_1,5,37,37,No_comp,64,-7,64000000000
1,14_1,6,37,37,No_comp,28,-7,28000000000
1,14_1,1,42,37,Comp,99,-7,99000000000
1,14_1,2,42,37,Comp,63,-7,63000000000
1,14_1,3,42,37,Comp,98,-7,98000000000
1,14_1,4,42,37,Comp,52,-7,52000000000
1,14_1,5,42,37,Comp,44,-7,44000000000
1,14_1,6,42,37,Comp,56,-7,56000000000
1,14_1,1,42,37,No_comp,122,-7,1.22E+11
1,14_1,2,42,37,No_comp,64,-7,64000000000
1,14_1,3,42,37,No_comp,72,-7,72000000000
1,14_1,4,42,37,No_comp,51,-7,51000000000
1,14_1,5,42,37,No_comp,77,-7,77000000000
1,14_1,6,42,37,No_comp,73,-7,73000000000
1,14_1,1,37C,37,Comp,64,-7,64000000000
1,14_1,2,37C,37,Comp,59,-7,59000000000
1,14_1,3,37C,37,Comp,58,-7,58000000000
1,14_1,4,37C,37,Comp,44,-7,44000000000
1,14_1,5,37C,37,Comp,52,-7,52000000000
1,14_1,6,37C,37,Comp,30,-7,30000000000
1,14_1,1,37C,37,No_comp,48,-7,48000000000
1,14_1,2,37C,37,No_comp,52,-7,52000000000
1,14_1,3,37C,37,No_comp,73,-7,73000000000
1,14_1,4,37C,37,No_comp,73,-7,73000000000
1,14_1,5,37C,37,No_comp,77,-7,77000000000
1,14_1,6,37C,37,No_comp,64,-7,64000000000
1,14_1,1,42C,37,Comp,61,-7,61000000000
1,14_1,2,42C,37,Comp,52,-7,52000000000
1,14_1,3,42C,37,Comp,50,-7,50000000000
1,14_1,4,42C,37,Comp,58,-7,58000000000
1,14_1,5,42C,37,Comp,46,-7,46000000000
1,14_1,6,42C,37,Comp,44,-7,44000000000
1,14_1,1,42C,37,No_comp,64,-7,64000000000
1,14_1,2,42C,37,No_comp,44,-7,44000000000
1,14_1,3,42C,37,No_comp,44,-7,44000000000
1,14_1,4,42C,37,No_comp,40,-7,40000000000
1,14_1,5,42C,37,No_comp,47,-7,47000000000
1,14_1,6,42C,37,No_comp,73,-7,73000000000
1,14_1,1,F,37,Comp,93,-7,93000000000
1,14_1,2,F,37,Comp,112,-7,1.12E+11
1,14_1,3,F,37,Comp,104,-7,1.04E+11
1,14_1,4,F,37,Comp,82,-7,82000000000
1,14_1,5,F,37,Comp,80,-7,80000000000
