Phage,Rep,Evolved_line,PAO1_line,PFU,Dilution,PFU_ml
14_1,1,37,LR,40,-2,400000
14_1,2,37,LR,31,-2,310000
14_1,3,37,LR,24,-2,240000
14_1,4,37,LR,47,-2,470000
14_1,5,37,LR,31,-2,310000
14_1,6,37,LR,37,-2,370000
14_1,1,37,WT,21,-2,210000
14_1,2,37,WT,12,-2,120000
14_1,3,37,WT,14,-2,140000
14_1,4,37,WT,23,-2,230000
14_1,5,37,WT,26,-2,260000
14_1,6,37,WT,19,-2,190000
14_1,1,42,LR,11,-2,110000
14_1,2,42,LR,21,-2,210000
14_1,3,42,LR,15,-2,150000
14_1,4,42,LR,11,-2,110000
14_1,5,42,LR,37,-2,370000
14_1,6,42,LR,34,-2,340000
14_1,1,42,WT,9,-2,90000
14_1,2,42,WT,10,-2,100000
14_1,3,42,WT,14,-2,140000
14_1,4,42,WT,14,-2,140000
14_1,5,42,WT,22,-2,220000
14_1,6,42,WT,21,-2,210000
14_1,1,37C,LR,27,-2,270000
14_1,2,37C,LR,38,-2,380000
14_1,3,37C,LR,32,-2,320000
14_1,4,37C,LR,43,-2,430000
14_1,5,37C,LR,38,-2,380000
14_1,6,37C,LR,20,-2,200000
14_1,1,37C,WT,20,-2,200000
14_1,2,37C,WT,15,-2,150000
14_1,3,37C,WT,16,-2,160000
14_1,4,37C,WT,16,-2,160000
14_1,5,37C,WT,22,-2,220000
14_1,6,37C,WT,14,-2,140000
14_1,1,42C,LR,36,-2,360000
14_1,2,42C,LR,17,-2,170000
14_1,3,42C,LR,12,-2,120000
14_1,4,42C,LR,23,-2,230000
14_1,5,42C,LR,19,-2,190000
14_1,6,42C,LR,21,-2,210000
14_1,1,42C,WT,16,-2,160000
14_1,2,42C,WT,12,-2,120000
14_1,3,42C,WT,10,-2,100000
14_1,4,42C,WT,12,-2,120000
14_1,5,42C,WT,13,-2,130000
14_1,6,42C,WT,5,-2,50000
14_1,NA,Ancestor,LR,28,-2,280000
14_1,NA,Ancestor,WT,20.66666667,-2,206666.6667
14_1,1,F,LR,36,-2,360000
14_1,2,F,LR,30,-2,300000
14_1,3,F,LR,16,-2,160000
14_1,4,F,LR,29,-2,290000
14_1,5,F,LR,26,-2,260000
14_1,6,F,LR,23,-2,230000
14_1,1,F,WT,21,-2,210000
14_1,2,F,WT,17,-2,170000
14_1,3,F,WT,14,-2,140000
14_1,4,F,WT,28,-2,280000
14_1,5,F,WT,17,-2,170000
14_1,6,F,WT,11,-2,110000
14_1,1,FC,LR,21,-2,210000
14_1,2,FC,LR,17,-2,170000
14_1,3,FC,LR,14,-2,140000
14_1,4,FC,LR,9,-2,90000
14_1,5,FC,LR,14,-2,140000
14_1,6,FC,LR,21,-2,210000
14_1,1,FC,WT,13,-2,130000
14_1,2,FC,WT,12,-2,120000
14_1,3,FC,WT,14,-2,140000
14_1,4,FC,WT,6,-2,60000
14_1,5,FC,WT,4,-2,40000
14_1,6,FC,WT,17,-2,170000
LUZ19,1,37,14R,28,-2,280000
LUZ19,2,37,14R,9,-2,90000
LUZ19,3,37,14R,19,-2,190000
LUZ19,4,37,14R,12,-2,120000
LUZ19,5,37,14R,11,-2,110000
LUZ19,6,37,14R,12,-2,120000
LUZ19,1,37,WT,8,-2,80000
LUZ19,2,37,WT,15,-2,150000
LUZ19,3,37,WT,17,-2,170000
LUZ19,4,37,WT,27,-2,270000
LUZ19,5,37,WT,30,-2,300000
LUZ19,6,37,WT,21,-2,210000
LUZ19,1,42,14R,11,-2,110000
LUZ19,2,42,14R,11,-2,110000
LUZ19,3,42,14R,7,-2,70000
LUZ19,4,42,14R,8,-2,80000
LUZ19,5,42,14R,8,-2,80000
LUZ19,6,42,14R,6,-2,60000
LUZ19,1,42,WT,8,-2,80000
LUZ19,2,42,WT,11,-2,110000
LUZ19,3,42,WT,14,-2,140000
LUZ19,4,42,WT,10,-2,100000
LUZ19,5,42,WT,13,-2,130000
LUZ19,6,42,WT,19,-2,190000
LUZ19,1,37C,14R,30,-2,300000
LUZ19,2,37C,14R,30,-2,300000
LUZ19,3,37C,14R,31,-2,310000
LUZ19,4,37C,14R,18,-2,180000
LUZ19,5,37C,14R,19,-2,190000
LUZ19,6,37C,14R,14,-2,140000
LUZ19,1,37C,WT,15,-2,150000
LUZ19,2,37C,WT,26,-2,260000
LUZ19,3,37C,WT,22,-2,220000
LUZ19,4,37C,WT,27,-2,270000
LUZ19,5,37C,WT,29,-2,290000
LUZ19,6,37C,WT,32,-2,320000
