Passage,Phage_measured,Phage_treatment,Temperature_treatment,Temperature,Rep,PFU,Dilution,PFU_ML,,
0,LUZ19,Single_phage,37C_static,37,1,11.5,-5,11500000,,
0,LUZ19,Single_phage,37C_static,37,2,11.5,-5,11500000,,
0,LUZ19,Single_phage,37C_static,37,3,11.5,-5,11500000,,
0,LUZ19,Single_phage,37C_static,37,4,11.5,-5,11500000,,
0,LUZ19,Single_phage,37C_static,37,5,11.5,-5,11500000,,
0,LUZ19,Single_phage,37C_static,37,6,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,1,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,2,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,3,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,4,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,5,11.5,-5,11500000,,
0,LUZ19,Single_phage,42C_static,42,6,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,1,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,2,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,3,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,4,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,5,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,6,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,1,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,2,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,3,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,4,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,5,11.5,-5,11500000,,
0,LUZ19,Competition,37C_static,37,6,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,1,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,2,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,3,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,4,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,5,11.5,-5,11500000,,
0,LUZ19,Competition,42C_static,42,6,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,1,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,2,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,3,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,4,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,5,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,6,11.5,-5,11500000,,
0,phage14_1,Single_phage,37C_static,37,1,38,-5,38000000,,
0,phage14_1,Single_phage,37C_static,37,2,38,-5,38000000,,
0,phage14_1,Single_phage,37C_static,37,3,38,-5,38000000,,
0,phage14_1,Single_phage,37C_static,37,4,38,-5,38000000,,
0,phage14_1,Single_phage,37C_static,37,5,38,-5,38000000,,
0,phage14_1,Single_phage,37C_static,37,6,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,1,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,2,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,3,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,4,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,5,38,-5,38000000,,
0,phage14_1,Single_phage,42C_static,42,6,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,1,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,2,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,3,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,4,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,5,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,6,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,1,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,2,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,3,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,4,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,5,38,-5,38000000,,
0,phage14_1,Competition,37C_static,37,6,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,1,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,2,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,3,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,4,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,5,38,-5,38000000,,
0,phage14_1,Competition,42C_static,42,6,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,1,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,2,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,3,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,4,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,5,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,6,38,-5,38000000,,
1,LUZ19,Single_phage,37C_static,37,1,15,-7,15000000000,,
1,LUZ19,Single_phage,37C_static,37,2,21,-7,21000000000,,
1,LUZ19,Single_phage,37C_static,37,3,22,-7,22000000000,,
1,LUZ19,Single_phage,37C_static,37,4,15,-7,15000000000,,
1,LUZ19,Single_phage,37C_static,37,5,17,-7,17000000000,,
1,LUZ19,Single_phage,37C_static,37,6,16,-7,16000000000,,
1,LUZ19,Single_phage,42C_static,42,1,22,-7,22000000000,,
1,LUZ19,Single_phage,42C_static,42,2,21,-7,21000000000,,
1,LUZ19,Single_phage,42C_static,42,3,25,-7,25000000000,,
1,LUZ19,Single_phage,42C_static,42,4,20,-7,20000000000,,
1,LUZ19,Single_phage,42C_static,42,5,29,-7,29000000000,,
1,LUZ19,Single_phage,42C_static,42,6,25,-7,25000000000,,
1,LUZ19,Single_phage,Fluctuating,37,1,7,-7,7000000000,,
1,LUZ19,Single_phage,Fluctuating,37,2,12,-7,12000000000,,
1,LUZ19,Single_phage,Fluctuating,37,3,11,-7,11000000000,,
1,LUZ19,Single_phage,Fluctuating,37,4,20,-7,20000000000,,
1,LUZ19,Single_phage,Fluctuating,37,5,31,-7,31000000000,,
1,LUZ19,Single_phage,Fluctuating,37,6,28,-7,28000000000,,
1,LUZ19,Competition,37C_static,37,1,12,-6,1200000000,,
1,LUZ19,Competition,37C_static,37,2,8,-6,800000000,,
1,LUZ19,Competition,37C_static,37,3,6,-6,600000000,,
1,LUZ19,Competition,37C_static,37,4,8,-6,800000000,,
1,LUZ19,Competition,37C_static,37,5,18,-6,1800000000,,
1,LUZ19,Competition,37C_static,37,6,19,-6,1900000000,,
1,LUZ19,Competition,42C_static,42,1,27,-7,27000000000,,
1,LUZ19,Competition,42C_static,42,2,22,-7,22000000000,,
