phage,batch,time,replicate,line,temperature,pfu,dilution,pfu_ml
LUZ19,1,0,1,37_C_evo,37,,,10000
LUZ19,1,0,2,37_C_evo,37,,,10000
LUZ19,1,0,3,37_C_evo,37,,,10000
LUZ19,1,0,4,37_C_evo,37,,,10000
LUZ19,1,0,5,37_C_evo,37,,,10000
LUZ19,1,0,6,37_C_evo,37,,,10000
LUZ19,1,0,1,37_C_evo,42,,,10000
LUZ19,1,0,2,37_C_evo,42,,,10000
LUZ19,1,0,3,37_C_evo,42,,,10000
LUZ19,1,0,4,37_C_evo,42,,,10000
LUZ19,1,0,5,37_C_evo,42,,,10000
LUZ19,1,0,6,37_C_evo,42,,,10000
LUZ19,2,0,1,37_C_evo,37,,,10000
LUZ19,2,0,2,37_C_evo,37,,,10000
LUZ19,2,0,3,37_C_evo,37,,,10000
LUZ19,2,0,4,37_C_evo,37,,,10000
LUZ19,2,0,5,37_C_evo,37,,,10000
LUZ19,2,0,6,37_C_evo,37,,,10000
LUZ19,2,0,1,37_C_evo,42,,,10000
LUZ19,2,0,2,37_C_evo,42,,,10000
LUZ19,2,0,3,37_C_evo,42,,,10000
LUZ19,2,0,4,37_C_evo,42,,,10000
LUZ19,2,0,5,37_C_evo,42,,,10000
LUZ19,2,0,6,37_C_evo,42,,,10000
LUZ19,3,0,1,37_C_evo,37,,,10000
LUZ19,3,0,2,37_C_evo,37,,,10000
LUZ19,3,0,3,37_C_evo,37,,,10000
LUZ19,3,0,4,37_C_evo,37,,,10000
LUZ19,3,0,5,37_C_evo,37,,,10000
LUZ19,3,0,6,37_C_evo,37,,,10000
LUZ19,3,0,1,37_C_evo,42,,,10000
LUZ19,3,0,2,37_C_evo,42,,,10000
LUZ19,3,0,3,37_C_evo,42,,,10000
LUZ19,3,0,4,37_C_evo,42,,,10000
LUZ19,3,0,5,37_C_evo,42,,,10000
LUZ19,3,0,6,37_C_evo,42,,,10000
LUZ19,1,2,1,37_C_evo,37,26,-6,2600000000
LUZ19,1,2,2,37_C_evo,37,20,-6,2000000000
LUZ19,1,2,3,37_C_evo,37,29,-6,2900000000
LUZ19,1,2,4,37_C_evo,37,15,-6,1500000000
LUZ19,1,2,5,37_C_evo,37,14,-6,1400000000
