passage,phage_measured,phage_treatment,temperature_treatment,temperature,replicate,pfu,dilution,pfu_ml,,
0,LUZ19,Single_phage,Fluctuating,37,1,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,2,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,3,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,4,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,5,11.5,-5,11500000,,
0,LUZ19,Single_phage,Fluctuating,37,6,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,1,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,2,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,3,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,4,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,5,11.5,-5,11500000,,
0,LUZ19,Competition,Fluctuating,37,6,11.5,-5,11500000,,
0,phage14_1,Single_phage,Fluctuating,37,1,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,2,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,3,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,4,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,5,38,-5,38000000,,
0,phage14_1,Single_phage,Fluctuating,37,6,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,1,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,2,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,3,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,4,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,5,38,-5,38000000,,
0,phage14_1,Competition,Fluctuating,37,6,38,-5,38000000,,
1,LUZ19,Single_phage,Fluctuating,37,1,7,-7,7000000000,,
1,LUZ19,Single_phage,Fluctuating,37,2,12,-7,12000000000,,
1,LUZ19,Single_phage,Fluctuating,37,3,11,-7,11000000000,,
1,LUZ19,Single_phage,Fluctuating,37,4,20,-7,20000000000,,
1,LUZ19,Single_phage,Fluctuating,37,5,31,-7,31000000000,,
1,LUZ19,Single_phage,Fluctuating,37,6,28,-7,28000000000,,
1,LUZ19,Competition,Fluctuating,37,1,23,-6,2300000000,,
1,LUZ19,Competition,Fluctuating,37,2,25,-6,2500000000,,
1,LUZ19,Competition,Fluctuating,37,3,22,-6,2200000000,,
1,LUZ19,Competition,Fluctuating,37,4,23,-6,2300000000,,
1,LUZ19,Competition,Fluctuating,37,5,21,-6,2100000000,,
1,LUZ19,Competition,Fluctuating,37,6,20,-6,2000000000,,
1,phage14_1,Single_phage,Fluctuating,37,1,49,-6,4900000000,,
1,phage14_1,Single_phage,Fluctuating,37,2,69,-6,6900000000,,
